year,season_type,week,home_team,away_team,home_rank,away_rank,home_score,away_score,winner,loser,winner_rank,loser_rank,rank_delta,higher_rank_won,neutral_site
2001,regular,11,Purdue,Illinois,20,21,13,38,Illinois,Purdue,21,20,1,False,False
2001,regular,11,Washington,Stanford,11,10,42,28,Washington,Stanford,11,10,1,False,False
2001,regular,11,Washington State,UCLA,16,9,20,14,Washington State,UCLA,16,9,7,False,False
2001,regular,12,UCLA,Oregon,17,7,20,21,Oregon,UCLA,7,17,10,True,False
2001,regular,12,Georgia,Auburn,19,24,17,24,Auburn,Georgia,24,19,5,False,False
2001,regular,12,South Carolina,Florida,14,4,17,54,Florida,South Carolina,4,14,10,True,False
2001,regular,13,Ohio State,Illinois,25,12,22,34,Illinois,Ohio State,12,25,13,True,False
2001,regular,13,Miami,Syracuse,1,14,59,0,Miami,Syracuse,1,14,13,True,False
2001,regular,13,Washington,Washington State,16,9,26,14,Washington,Washington State,16,9,7,False,False
2001,regular,13,Florida,Florida State,4,21,37,13,Florida,Florida State,4,21,17,True,False
2001,regular,14,Colorado,Nebraska,14,2,62,36,Colorado,Nebraska,14,2,12,False,False
2001,regular,14,Syracuse,Boston College,22,25,39,28,Syracuse,Boston College,22,25,3,True,False
2001,regular,14,Georgia Tech,Georgia,21,19,17,31,Georgia,Georgia Tech,19,21,2,True,False
2001,regular,14,Miami,Washington,1,12,65,7,Miami,Washington,1,12,11,True,False
2001,regular,15,Virginia Tech,Miami,14,1,24,26,Miami,Virginia Tech,1,14,13,True,False
2001,regular,15,Florida,Tennessee,2,5,32,34,Tennessee,Florida,5,2,3,False,False
2001,regular,15,LSU,Auburn,22,25,27,14,LSU,Auburn,22,25,3,True,False
2001,regular,15,Texas,Colorado,3,9,37,39,Colorado,Texas,9,3,6,False,False
2001,regular,16,LSU,Tennessee,12,8,31,20,LSU,Tennessee,12,8,4,False,False
2001,postseason,1,Texas,Washington,9,21,47,43,Texas,Washington,9,21,12,True,True
2001,postseason,1,BYU,Louisville,19,23,10,28,Louisville,BYU,23,19,4,False,True
2001,postseason,1,South Carolina,Ohio State,14,22,31,28,South Carolina,Ohio State,14,22,8,True,True
2001,postseason,1,Virginia Tech,Florida State,15,24,17,30,Florida State,Virginia Tech,24,15,9,False,True
2001,postseason,1,Tennessee,Michigan,8,17,45,17,Tennessee,Michigan,8,17,9,True,True
2001,postseason,1,Oregon,Colorado,2,3,38,16,Oregon,Colorado,2,3,1,True,True
2001,postseason,1,Illinois,LSU,7,12,34,47,LSU,Illinois,12,7,5,False,True
2001,postseason,1,Florida,Maryland,5,6,56,23,Florida,Maryland,5,6,1,True,True
2001,postseason,1,Miami,Nebraska,1,4,37,14,Miami,Nebraska,1,4,3,True,True
2002,regular,2,Michigan,Washington,13,11,31,29,Michigan,Washington,13,11,2,False,False
2002,regular,2,Virginia Tech,LSU,16,14,26,8,Virginia Tech,LSU,16,14,2,False,False
2002,regular,3,Florida,Miami,6,1,16,41,Miami,Florida,1,6,5,True,False
2002,regular,4,Virginia Tech,Marshall,11,16,47,21,Virginia Tech,Marshall,11,16,5,True,False
2002,regular,4,Notre Dame,Michigan,20,7,25,23,Notre Dame,Michigan,20,7,13,False,False
2002,regular,4,Ohio State,Washington State,6,10,25,7,Ohio State,Washington State,6,10,4,True,False
2002,regular,4,Colorado,USC,18,17,3,40,USC,Colorado,17,18,1,True,False
2002,regular,5,Texas A&M,Virginia Tech,19,7,3,13,Virginia Tech,Texas A&M,7,19,12,True,False
2002,regular,5,Tennessee,Florida,4,10,13,30,Florida,Tennessee,10,4,6,False,False
2002,regular,5,Kansas State,USC,25,11,27,20,Kansas State,USC,25,11,14,False,False
2002,regular,6,Iowa State,Nebraska,19,20,36,14,Iowa State,Nebraska,19,20,1,True,False
2002,regular,6,USC,Oregon State,18,23,22,0,USC,Oregon State,18,23,5,True,False
2002,regular,7,Alabama,Georgia,22,7,25,27,Georgia,Alabama,7,22,15,True,False
2002,regular,7,Wisconsin,Penn State,19,20,31,34,Penn State,Wisconsin,20,19,1,False,False
2002,regular,7,Washington State,USC,17,18,30,27,Washington State,USC,17,18,1,True,False
2002,regular,8,Miami,Florida State,1,9,28,27,Miami,Florida State,1,9,8,True,False
2002,regular,8,Oklahoma,Texas,2,3,35,24,Oklahoma,Texas,2,3,1,True,False
2002,regular,8,Michigan,Penn State,13,15,27,24,Michigan,Penn State,13,15,2,True,False
2002,regular,8,Georgia,Tennessee,6,10,18,13,Georgia,Tennessee,6,10,4,True,False
2002,regular,8,Florida,LSU,16,18,7,36,LSU,Florida,18,16,2,False,False
2002,regular,9,USC,Washington,19,22,41,21,USC,Washington,19,22,3,True,False
2002,regular,9,Alabama,Ole Miss,24,21,42,7,Alabama,Ole Miss,24,21,3,False,False
2002,regular,9,Oklahoma,Iowa State,2,9,49,3,Oklahoma,Iowa State,2,9,7,True,False
2002,regular,9,Kansas State,Texas,17,8,14,17,Texas,Kansas State,8,17,9,True,False
2002,regular,9,Air Force,Notre Dame,18,7,14,21,Notre Dame,Air Force,7,18,11,True,False
2002,regular,10,Florida State,Notre Dame,11,6,24,34,Notre Dame,Florida State,6,11,5,True,False
2002,regular,10,Michigan,Iowa,8,13,9,34,Iowa,Michigan,13,8,5,False,False
2002,regular,10,Texas,Iowa State,7,17,21,10,Texas,Iowa State,7,17,10,True,False
2002,regular,10,Oregon,USC,14,15,33,44,USC,Oregon,15,14,1,False,False
2002,regular,10,Ohio State,Penn State,4,18,13,7,Ohio State,Penn State,4,18,14,True,False
2002,regular,10,Tennessee,Alabama,16,19,14,34,Alabama,Tennessee,19,16,3,False,False
2002,regular,11,Washington State,Arizona State,8,16,44,22,Washington State,Arizona State,8,16,8,True,False
2002,regular,11,Ohio State,Minnesota,6,23,34,3,Ohio State,Minnesota,6,23,17,True,False
2002,regular,11,Oklahoma,Colorado,2,13,27,11,Oklahoma,Colorado,2,13,11,True,False
2002,regular,12,Washington State,Oregon,5,15,32,21,Washington State,Oregon,5,15,10,True,False
2002,regular,12,Kansas State,Iowa State,12,21,58,7,Kansas State,Iowa State,12,21,9,True,False
2002,regular,13,Auburn,Georgia,24,7,21,24,Georgia,Auburn,7,24,17,True,False
2002,regular,13,LSU,Alabama,14,10,0,31,Alabama,LSU,10,14,4,True,False
2002,regular,14,Miami,Pittsburgh,1,17,28,21,Miami,Pittsburgh,1,17,16,True,False
2002,regular,14,Ohio State,Michigan,2,12,14,9,Ohio State,Michigan,2,12,10,True,False
2002,regular,14,UCLA,USC,25,7,21,52,USC,UCLA,7,25,18,True,False
2002,regular,14,Oklahoma,Texas Tech,4,24,60,15,Oklahoma,Texas Tech,4,24,20,True,False
2002,regular,15,Pittsburgh,West Virginia,17,24,17,24,West Virginia,Pittsburgh,24,17,7,False,False
2002,regular,15,USC,Notre Dame,6,7,44,13,USC,Notre Dame,6,7,1,True,False
