season,team,pick,pfr_player_name,position,hof,probowls,seasons_started,w_av,dr_av,games,active,bust_a,bust_b,bust_c,triple_bust,clean_hit
1985,TEN,3,Ray Childress,DT,False,5,10,90,90,163,0,0,0,0,0,1
1985,MIN,4,Chris Doleman,DE,True,8,13,114,85,232,0,0,0,0,0,1
1985,IND,5,Duane Bickett,LB,False,1,9,64,62,175,0,0,0,0,0,1
1985,DET,6,Lomas Brown,T,False,7,17,98,74,263,0,0,0,0,0,1
1985,GB,7,Ken Ruettgers,T,False,0,9,55,55,156,0,1,0,0,0,0
1985,TB,8,Ron Holmes,DE,False,0,6,31,14,102,0,1,0,0,0,0
1985,PHI,9,Kevin Allen,T,False,0,0,2,2,16,0,1,1,1,1,0
1985,NYJ,10,Al Toon,WR,False,3,8,56,56,107,0,0,0,0,0,1
1985,TEN,11,Richard Johnson,DB,False,0,2,19,19,98,0,1,1,1,1,0
1985,LAC,12,Jim Lachey,T,False,3,9,77,17,131,0,0,0,0,0,1
1985,CIN,13,Eddie Brown,WR,False,1,7,57,57,102,0,0,0,0,0,1
1985,BUF,14,Derrick Burroughs,DB,False,0,3,15,15,58,0,1,1,1,1,0
1985,KC,15,Ethan Horton,TE,False,1,5,22,3,116,0,0,0,0,0,1
1985,SF,16,Jerry Rice,WR,True,13,18,160,149,303,0,0,0,0,0,1
1985,DAL,17,Kevin Brooks,DT,False,0,3,21,13,69,0,1,0,1,0,0
1985,LAR,18,Freddie Joe Nunn,DE,False,0,8,49,47,157,0,1,0,0,0,0
1985,NYG,19,George Adams,RB,False,0,1,13,12,76,0,1,1,1,1,0
1985,PIT,20,Darryl Sims,DE,False,0,0,9,3,58,0,1,1,1,1,0
1985,LAR,21,Jerry Gray,DB,False,4,7,61,54,134,0,0,0,0,0,1
1985,CHI,22,William Perry,DT,False,0,9,48,39,138,0,1,0,0,0,0
1985,LV,23,Jessie Hester,WR,False,0,7,37,10,147,0,1,0,0,0,0
1985,NO,24,Alvin Toles,LB,False,0,1,10,10,55,0,1,1,1,1,0
1985,CIN,25,Emanuel King,LB,False,0,2,15,14,67,0,1,1,1,1,0
1985,DEN,26,Steve Sewell,RB,False,0,0,25,25,94,0,1,0,1,0,0
1985,MIA,27,Lorenzo Hampton,RB,False,0,3,25,25,70,0,1,0,1,0,0
1985,NE,28,Trevor Matich,C,False,0,0,16,4,148,0,1,0,1,0,0
1986,TB,1,Bo Jackson,RB,False,1,3,22,0,38,0,0,1,1,0,0
1986,ATL,2,Tony Casillas,DT,False,0,10,56,27,166,0,1,0,0,0,0
1986,TEN,3,Jim Everett,QB,False,1,10,87,0,158,0,0,0,0,0,1
1986,IND,4,Jon Hand,DE,False,0,8,44,44,121,0,1,0,0,0,0
1986,LAR,5,Anthony Bell,LB,False,0,4,28,25,102,0,1,0,0,0,0
1986,NO,6,Jim Dombrowski,G,False,0,9,59,59,151,0,1,0,0,0,0
1986,KC,7,Brian Jozwiak,G,False,0,0,3,3,28,0,1,1,1,1,0
1986,LAC,8,Leslie O'Neal,DE,False,6,12,89,73,196,0,0,0,0,0,1
1986,PIT,9,John Rienstra,G,False,0,2,24,12,65,0,1,0,1,0,0
1986,PHI,10,Keith Byars,RB,False,1,12,60,44,189,0,0,0,0,0,1
1986,CIN,11,Joe Kelly,LB,False,0,7,43,17,156,0,1,0,0,0,0
1986,DET,12,Chuck Long,QB,False,0,1,11,11,27,0,1,1,1,1,0
1986,LAC,13,James FitzPatrick,T,False,0,1,10,7,65,0,1,1,1,1,0
1986,MIN,14,Gerald Robinson,DE,False,0,1,15,3,89,0,1,1,1,1,0
1986,SEA,15,John Williams,FB,False,2,10,65,61,149,0,0,0,0,0,1
1986,BUF,16,Ronnie Harmon,RB,False,1,1,64,13,181,0,0,0,1,0,0
1986,ATL,17,Tim Green,LB,False,0,5,28,28,99,0,1,0,0,0,0
1986,DAL,18,Mike Sherrard,WR,False,0,2,33,5,105,0,1,0,1,0,0
1986,NYG,19,Eric Dorsey,DE,False,0,4,27,27,89,0,1,0,0,0,0
1986,BUF,20,Will Wolford,T,False,3,13,75,46,191,0,0,0,0,0,1
1986,CIN,21,Tim McGee,WR,False,0,6,46,43,134,0,1,0,0,0,0
1986,NYJ,22,Mike Haight,G,False,0,3,20,20,63,0,1,0,1,0,0
1986,LAR,23,Mike Schad,G,False,0,4,26,1,62,0,1,0,0,0,0
1986,LV,24,Bob Buczkowski,DE,False,0,0,3,0,21,0,1,1,1,1,0
1986,TB,25,Rod Jones,DB,False,0,7,34,13,144,0,1,0,0,0,0
1986,NE,26,Reggie Dupard,RB,False,0,0,7,6,51,0,1,1,1,1,0
1986,CHI,27,Neal Anderson,RB,False,4,7,61,61,116,0,0,0,0,0,1
1987,TB,1,Vinny Testaverde,QB,False,2,15,97,26,233,0,0,0,0,0,1
1987,IND,2,Cornelius Bennett,LB,False,5,14,91,8,206,0,0,0,0,0,1
1987,TEN,3,Alonzo Highsmith,RB,False,0,2,12,12,65,0,1,1,1,1,0
1987,GB,4,Brent Fullwood,RB,False,1,2,14,14,46,0,0,1,1,0,0
1987,CLE,5,Mike Junkin,LB,False,0,0,3,3,20,0,1,1,1,1,0
1987,LAR,6,Kelly Stouffer,QB,False,0,0,2,0,22,0,1,1,1,1,0
1987,DET,7,Reggie Rogers,DE,False,0,0,1,1,15,0,1,1,1,1,0
1987,BUF,8,Shane Conlan,LB,False,3,8,61,50,120,0,0,0,0,0,1
1987,PHI,9,Jerome Brown,DT,False,2,5,51,51,76,0,0,0,0,0,1
1987,PIT,10,Rod Woodson,DB,True,11,15,142,98,238,0,0,0,0,0,1
1987,NO,11,Shawn Knight,DE,False,0,0,3,1,31,0,1,1,1,1,0
1987,DAL,12,Danny Noonan,DT,False,0,2,20,20,73,0,1,1,1,1,0
1987,ATL,13,Chris Miller,QB,False,1,7,51,41,98,0,0,0,0,0,1
1987,MIN,14,D.J. Dozier,RB,False,0,0,8,8,43,0,1,1,1,1,0
1987,LV,15,John Clay,T,False,0,1,5,5,12,0,1,1,1,1,0
1987,MIA,16,John Bosa,DE,False,0,1,10,10,31,0,1,1,1,1,0
1987,CIN,17,Jason Buck,DE,False,0,1,18,12,97,0,1,1,1,1,0
1987,SEA,18,Tony Woods,DE,False,0,9,51,37,147,0,1,0,0,0,0
1987,KC,19,Paul Palmer,RB,False,0,2,14,11,41,0,1,1,1,1,0
1987,TEN,20,Haywood Jeffires,WR,False,3,6,50,49,132,0,0,0,0,0,1
1987,NYJ,21,Roger Vick,RB,False,0,3,12,12,58,0,1,1,1,1,0
1987,SF,22,Harris Barton,T,False,1,10,79,79,138,0,0,0,0,0,1
1987,NE,23,Bruce Armstrong,T,False,6,14,82,82,212,0,0,0,0,0,1
1987,LAC,24,Rod Bernstine,RB,False,0,3,31,20,84,0,1,0,1,0,0
1987,SF,25,Terrence Flagler,RB,False,0,0,6,3,41,0,1,1,1,1,0
1987,CHI,26,Jim Harbaugh,QB,False,1,10,79,40,177,0,0,0,0,0,1
1987,DEN,27,Ricky Nattiel,WR,False,0,1,19,19,70,0,1,0,1,0,0
1987,NYG,28,Mark Ingram,WR,False,0,6,36,22,128,0,1,0,0,0,0
1988,ATL,1,Aundray Bruce,LB,False,0,2,24,16,151,0,1,1,1,1,0
1988,KC,2,Neil Smith,DE,False,6,11,96,78,191,0,0,0,0,0,1
1988,DET,3,Bennie Blades,DB,False,1,9,46,44,136,0,0,0,0,0,1
1988,TB,4,Paul Gruber,T,False,0,12,60,60,183,0,1,0,0,0,0
1988,CIN,5,Rickey Dixon,DB,False,0,2,13,13,82,0,1,1,1,1,0
1988,LV,6,Tim Brown,WR,True,9,13,105,105,255,0,0,0,0,0,1
1988,GB,7,Sterling Sharpe,WR,True,5,7,70,70,112,0,0,0,0,0,1
1988,NYJ,8,Dave Cadigan,G,False,0,5,28,24,82,0,1,0,0,0,0
1988,LV,9,Terry McDaniel,DB,False,5,9,70,69,152,0,0,0,0,0,1
1988,NYG,10,Eric Moore,G,False,0,5,35,33,84,0,1,0,0,0,0
1988,DAL,11,Michael Irvin,WR,True,5,10,104,104,159,0,0,0,0,0,1
1988,ARI,12,Ken Harvey,LB,False,4,9,65,22,164,0,0,0,0,0,1
1988,PHI,13,Keith Jackson,TE,False,5,7,43,23,129,0,0,0,0,0,1
1988,LAR,14,Gaston Green,RB,False,1,2,16,4,58,0,0,1,1,0,0
1988,LAC,15,Anthony Miller,WR,False,5,10,74,50,155,0,0,0,0,0,1
1988,MIA,16,Eric Kumerow,DE,False,0,0,4,4,42,0,1,1,1,1,0
1988,NE,17,John Stephens,RB,False,1,4,23,21,88,0,0,0,0,0,1
1988,PIT,18,Aaron Jones,DE,False,0,2,18,13,112,0,1,1,1,1,0
1988,MIN,19,Randall McDaniel,G,True,12,14,129,121,222,0,0,0,0,0,1
1988,LAR,20,Aaron Cox,WR,False,0,1,15,15,82,0,1,1,1,1,0
1988,CLE,21,Clifford Charlton,LB,False,0,0,2,2,31,0,1,1,1,1,0
1988,TEN,22,Lorenzo White,RB,False,1,3,43,42,107,0,0,0,1,0,0
1988,CHI,23,Brad Muster,RB,False,0,5,31,29,95,0,1,0,0,0,0
1988,NO,24,Craig Heyward,RB,False,1,6,38,14,149,0,0,0,0,0,1
1988,LV,25,Scott Davis,DT,False,0,3,23,23,75,0,1,0,1,0,0
1988,DEN,26,Ted Gregory,NT,False,0,0,0,0,3,0,1,1,1,1,0
1988,CHI,27,Wendell Davis,WR,False,0,3,28,28,81,0,1,0,1,0,0
1989,DAL,1,Troy Aikman,QB,True,6,12,96,96,165,0,0,0,0,0,1
1989,GB,2,Tony Mandarich,T,False,0,4,28,13,86,0,1,1,0,0,0
1989,DET,3,Barry Sanders,RB,True,10,10,120,120,153,0,0,0,0,0,1
1989,KC,4,Derrick Thomas,LB,True,9,11,104,104,169,0,0,0,0,0,1
1989,ATL,5,Deion Sanders,DB,True,8,12,127,35,188,0,0,0,0,0,1
1989,TB,6,Broderick Thomas,LB,False,0,6,40,24,144,0,1,0,0,0,0
1989,PIT,7,Tim Worley,RB,False,0,2,13,10,48,0,1,1,1,1,0
1989,LAC,8,Burt Grossman,DE,False,0,5,35,33,86,0,1,0,0,0,0
1989,MIA,9,Sammie Smith,RB,False,0,2,13,13,44,0,1,1,1,1,0
1989,ARI,10,Eric Hill,LB,False,0,11,52,45,160,0,1,0,0,0,0
1989,CHI,11,Donnell Woolford,DB,False,1,9,51,47,126,0,0,0,0,0,1
1989,CHI,12,Trace Armstrong,DE,False,1,9,61,36,211,0,0,0,0,0,1
1989,CLE,13,Eric Metcalf,RB,False,3,6,64,39,179,0,0,0,0,0,1
1989,NYJ,14,Jeff Lageman,DE,False,0,7,44,32,122,0,1,0,0,0,0
1989,SEA,15,Andy Heck,T,False,0,11,60,22,185,0,1,0,0,0,0
1989,NE,16,Hart Lee Dykes,WR,False,0,1,9,9,26,0,1,1,1,1,0
1989,ARI,17,Joe Wolf,T,False,0,2,24,24,94,0,1,0,1,0,0
1989,NYG,18,Brian Williams,C,False,0,4,27,27,129,0,1,0,0,0,0
1989,NO,19,Wayne Martin,DE,False,1,10,68,68,171,0,0,0,0,0,1
1989,DEN,20,Steve Atwater,DB,True,8,11,81,79,167,0,0,0,0,0,1
1989,LAR,21,Bill Hawkins,DE,False,0,1,6,6,42,0,1,1,1,1,0
1989,IND,22,Andre Rison,WR,False,5,10,77,4,186,0,0,0,0,0,1
1989,TEN,23,David Williams,T,False,0,8,44,35,128,0,1,0,0,0,0
1989,PIT,24,Tom Ricketts,G,False,0,1,9,8,53,0,1,1,1,1,0
1989,MIA,25,Louis Oliver,DB,False,0,7,45,41,117,0,1,0,0,0,0
1989,LAR,26,Cleveland Gary,RB,False,0,2,25,25,68,0,1,0,1,0,0
1989,ATL,27,Shawn Collins,WR,False,0,1,11,11,49,0,1,1,1,1,0
1989,SF,28,Keith DeLong,LB,False,0,3,23,23,64,0,1,0,1,0,0
1990,IND,1,Jeff George,QB,False,0,9,66,16,131,0,1,0,0,0,0
1990,NYJ,2,Blair Thomas,RB,False,0,3,20,18,64,0,1,1,1,1,0
1990,SEA,3,Cortez Kennedy,DT,True,8,9,97,97,167,0,0,0,0,0,1
1990,TB,4,Keith McCants,DE,False,0,2,20,14,88,0,1,1,1,1,0
1990,LAC,5,Junior Seau,LB,True,12,16,133,125,268,0,0,0,0,0,1
1990,CHI,6,Mark Carrier,DB,False,3,11,66,48,168,0,0,0,0,0,1
1990,DET,7,Andre Ware,QB,False,0,0,5,5,14,0,1,1,1,1,0
1990,NE,8,Chris Singleton,LB,False,0,4,27,10,90,0,1,0,0,0,0
1990,MIA,9,Richmond Webb,T,False,7,12,102,99,184,0,0,0,0,0,1
1990,NE,10,Ray Agnew,DT,False,0,7,42,14,157,0,1,0,0,0,0
1990,LV,11,Anthony Smith,DE,False,0,3,27,27,98,0,1,0,1,0,0
1990,CIN,12,James Francis,LB,False,0,9,45,44,143,0,1,0,0,0,0
1990,KC,13,Percy Snow,LB,False,0,1,10,9,40,0,1,1,1,1,0
1990,NO,14,Renaldo Turnbull,DE,False,1,3,39,38,120,0,0,0,1,0,0
1990,TEN,15,Lamar Lathon,LB,False,1,6,49,18,115,0,0,0,0,0,1
1990,BUF,16,James Williams,DB,False,0,2,17,12,70,0,1,1,1,1,0
1990,DAL,17,Emmitt Smith,RB,True,8,14,129,126,226,0,0,0,0,0,1
1990,GB,18,Tony Bennett,DE,False,0,5,42,21,108,0,1,0,0,0,0
1990,GB,19,Darrell Thompson,RB,False,0,2,16,16,60,0,1,1,1,1,0
1990,ATL,20,Steve Broussard,RB,False,0,1,23,14,121,0,1,0,1,0,0
1990,PIT,21,Eric Green,TE,False,2,6,32,22,120,0,0,0,0,0,1
1990,PHI,22,Ben Smith,DB,False,0,3,17,11,57,0,1,1,1,1,0
1990,LAR,23,Bern Brostek,C,False,0,6,34,34,105,0,1,0,0,0,0
1990,NYG,24,Rodney Hampton,RB,False,2,6,54,54,104,0,0,0,0,0,1
1990,SF,25,Dexter Carter,RB,False,0,1,18,18,100,0,1,0,1,0,0
1991,DAL,1,Russell Maryland,DT,False,1,10,60,31,154,0,0,0,0,0,1
1991,CLE,2,Eric Turner,DB,False,2,7,49,33,109,0,0,0,0,0,1
1991,ATL,3,Bruce Pickens,DB,False,0,0,4,3,48,0,1,1,1,1,0
1991,DEN,4,Mike Croel,LB,False,0,6,34,24,102,0,1,0,0,0,0
1991,LAR,5,Todd Lyght,DB,False,1,11,60,52,175,0,0,0,0,0,1
1991,ARI,6,Eric Swann,DT,False,2,6,44,42,126,0,0,0,0,0,1
1991,TB,7,Charles McRae,T,False,0,2,18,17,84,0,1,1,1,1,0
1991,PHI,8,Antone Davis,T,False,0,6,35,31,97,0,1,0,0,0,0
1991,LAC,9,Stanley Richard,DB,False,0,8,40,17,124,0,1,0,0,0,0
1991,DET,10,Herman Moore,WR,False,4,8,78,78,146,0,0,0,0,0,1
1991,NE,11,Pat Harlow,T,False,0,6,34,22,105,0,1,0,0,0,0
1991,DAL,12,Alvin Harper,WR,False,0,4,37,30,102,0,1,0,0,0,0
1991,ATL,13,Mike Pritchard,WR,False,0,6,43,20,127,0,1,0,0,0,0
