season,week,game_id,team,opp,third_att,third_conv,fourth_att,fourth_conv,first_downs,penalties,penalty_yards,sacks_taken,sacks_made,explosive,rz_trips,rz_td,pass_att,completions,rush_yards,pass_yards
2016,8,2016_08_GB_ATL,GB,ATL,10,6,1,0,24,6,68,3,2,4,5,4,38,28,110,223
2016,8,2016_08_JAX_TEN,JAX,TEN,13,6,1,0,27,7,75,2,0,4,4,3,54,33,50,322
2016,8,2016_08_JAX_TEN,TEN,JAX,15,9,0,0,24,7,54,0,2,5,7,4,23,19,214,280
2016,8,2016_08_KC_IND,IND,KC,13,4,2,1,18,5,45,6,3,2,2,2,35,19,105,172
2016,8,2016_08_KC_IND,KC,IND,16,7,0,0,20,6,40,3,6,6,6,3,41,25,88,334
2016,8,2016_08_MIN_CHI,CHI,MIN,14,7,0,0,19,2,20,1,5,5,4,2,31,20,158,245
2016,8,2016_08_MIN_CHI,MIN,CHI,13,2,2,2,15,1,10,5,1,4,2,1,37,23,57,201
2016,8,2016_08_NE_BUF,BUF,NE,13,4,4,2,25,12,84,2,5,6,5,3,41,20,167,211
2016,8,2016_08_NE_BUF,NE,BUF,13,9,0,0,22,10,116,5,2,3,6,5,33,22,72,285
2016,8,2016_08_NYJ_CLE,CLE,NYJ,16,8,0,0,22,2,10,1,2,6,4,3,52,27,68,341
2016,8,2016_08_NYJ_CLE,NYJ,CLE,15,7,1,1,21,5,37,2,1,6,5,4,34,16,171,222
2016,8,2016_08_OAK_TB,LV,TB,18,7,1,1,27,23,200,2,2,10,4,3,59,40,128,498
2016,8,2016_08_OAK_TB,TB,LV,13,4,0,0,18,6,64,2,2,1,4,3,33,16,102,170
2016,8,2016_08_PHI_DAL,DAL,PHI,14,4,2,2,26,11,84,2,3,6,6,3,40,19,187,273
2016,8,2016_08_PHI_DAL,PHI,DAL,15,6,0,0,21,5,40,3,2,0,4,2,44,32,97,194
2016,8,2016_08_SD_DEN,DEN,LAC,15,5,1,0,15,6,45,1,4,4,7,2,38,20,57,267
2016,8,2016_08_SD_DEN,LAC,DEN,17,7,2,0,21,8,52,4,1,4,4,2,48,20,123,246
2016,8,2016_08_SEA_NO,NO,SEA,15,9,0,0,27,2,10,2,1,3,6,2,36,27,123,252
2016,8,2016_08_SEA_NO,SEA,NO,11,5,1,0,15,11,76,1,2,4,4,1,36,23,74,285
2016,8,2016_08_WAS_CIN,CIN,WAS,15,8,0,0,35,7,85,3,1,2,5,4,42,27,152,263
