season,player_id,player,kind,touched,yards,epa,fumble_lost
2015,00-0032241,T.Gurley,rush,1,1.0,-0.5754,0
2015,00-0030525,T.Austin,target,1,10.0,1.1472,0
2015,00-0032241,T.Gurley,rush,1,-1.0,-0.7276,0
2015,00-0032241,T.Gurley,target,1,5.0,-0.1677,0
2015,00-0030525,T.Austin,target,1,3.0,-1.3422,0
2015,00-0030532,S.Bailey,target,0,0.0,-2.9454,0
2015,00-0030496,L.Bell,rush,1,1.0,-0.5178,0
2015,00-0030460,M.Wheaton,target,0,0.0,-2.1906,0
2015,00-0031391,T.Mason,rush,1,-1.0,-1.0159,0
2015,00-0027006,K.Britt,target,1,14.0,1.7096,0
2015,00-0031391,T.Mason,rush,1,6.0,0.0085,0
2015,00-0030525,T.Austin,target,1,6.0,0.5906,0
2015,00-0027006,K.Britt,target,1,19.0,1.0916,0
2015,00-0031391,T.Mason,rush,1,3.0,-0.2292,0
2015,00-0031391,T.Mason,rush,1,3.0,-0.1783,0
2015,00-0027006,K.Britt,target,0,0.0,-1.3194,0
2015,00-0030496,L.Bell,rush,1,5.0,0.3157,0
2015,00-0027793,A.Brown,target,1,12.0,0.5134,0
2015,00-0027793,A.Brown,target,1,7.0,0.4124,0
2015,00-0023465,H.Miller,target,1,9.0,-0.1276,0
2015,00-0027985,L.Kendricks,target,1,5.0,-0.0744,0
2015,00-0032241,T.Gurley,rush,1,4.0,0.4519,0
2015,00-0029795,B.Cunningham,rush,1,12.0,0.9523,0
2015,00-0028958,C.Harkey,target,0,0.0,-0.4727,0
2015,00-0027006,K.Britt,target,1,15.0,1.2593,0
2015,00-0027985,L.Kendricks,target,0,0.0,-0.4582,0
2015,00-0029795,B.Cunningham,target,1,12.0,-0.4902,0
2015,00-0027793,A.Brown,target,1,8.0,0.4666,0
2015,00-0030496,L.Bell,rush,1,-4.0,-1.4624,0
2015,00-0027793,A.Brown,target,0,0.0,-0.5531,0
2015,00-0030496,L.Bell,rush,1,-3.0,-1.3942,0
2015,00-0027793,A.Brown,target,1,14.0,2.5137,0
2015,00-0026983,D.Heyward-Bey,target,1,6.0,0.3842,0
2015,00-0030496,L.Bell,target,1,4.0,0.4291,0
2015,00-0030496,L.Bell,target,1,3.0,-1.01,0
