season,week,game_id,team,opp,home,plays,yards,top_seconds,turnovers,points_for,points_against,win
2016,6,2016_06_BAL_NYG,BAL,NYG,0,76,391.0,2104,0,23,27,0
2016,6,2016_06_BAL_NYG,NYG,BAL,1,64,435.0,1496,3,27,23,1
2016,6,2016_06_CAR_NO,CAR,NO,0,77,408.0,1865,2,38,41,0
2016,6,2016_06_CAR_NO,NO,CAR,1,71,523.0,1735,1,41,38,1
2016,6,2016_06_CIN_NE,CIN,NE,0,65,357.0,1923,0,17,35,0
2016,6,2016_06_CIN_NE,NE,CIN,1,61,437.0,1677,0,35,17,1
2016,6,2016_06_CLE_TEN,CLE,TEN,0,64,341.0,1739,0,26,28,0
2016,6,2016_06_CLE_TEN,TEN,CLE,1,57,407.0,1961,1,28,26,1
2016,6,2016_06_DAL_GB,DAL,GB,0,62,424.0,1790,2,30,16,1
2016,6,2016_06_DAL_GB,GB,DAL,1,67,372.0,1810,4,16,30,0
2016,6,2016_06_DEN_SD,DEN,LAC,0,68,304.0,1592,3,13,21,0
2016,6,2016_06_DEN_SD,LAC,DEN,1,60,265.0,2266,1,21,13,1
2016,6,2016_06_IND_HOU,HOU,IND,1,68,414.0,1817,1,26,23,1
2016,6,2016_06_IND_HOU,IND,HOU,0,67,392.0,2193,1,23,26,0
2016,6,2016_06_JAX_CHI,CHI,JAX,1,77,389.0,2147,0,16,17,0
2016,6,2016_06_JAX_CHI,JAX,CHI,0,55,317.0,1453,2,17,16,1
2016,6,2016_06_KC_OAK,KC,LV,0,64,406.0,2205,0,26,10,1
2016,6,2016_06_KC_OAK,LV,KC,1,53,285.0,1395,2,10,26,0
2016,6,2016_06_LA_DET,DET,LA,1,58,348.0,1932,0,31,28,1
2016,6,2016_06_LA_DET,LA,DET,0,55,387.0,1668,1,28,31,0
2016,6,2016_06_NYJ_ARI,ARI,NYJ,1,70,396.0,2162,0,28,3,1
2016,6,2016_06_NYJ_ARI,NYJ,ARI,0,52,230.0,1438,2,3,28,0
2016,6,2016_06_PHI_WAS,PHI,WAS,0,48,239.0,1547,0,20,27,0
2016,6,2016_06_PHI_WAS,WAS,PHI,1,67,493.0,2053,1,27,20,1
2016,6,2016_06_PIT_MIA,MIA,PIT,1,68,474.0,2190,0,30,15,1
2016,6,2016_06_PIT_MIA,PIT,MIA,0,54,299.0,1286,2,15,30,0
2016,6,2016_06_SF_BUF,BUF,SF,1,74,492.0,2111,2,45,16,1
2016,6,2016_06_SF_BUF,SF,BUF,0,60,300.0,1489,1,16,45,0
2016,7,2016_07_BAL_NYJ,BAL,NYJ,0,57,245.0,1403,2,16,24,0
2016,7,2016_07_BAL_NYJ,NYJ,BAL,1,66,344.0,2284,2,24,16,1
2016,7,2016_07_BUF_MIA,BUF,MIA,0,55,269.0,1378,0,25,28,0
2016,7,2016_07_BUF_MIA,MIA,BUF,1,68,456.0,2222,0,28,25,1
2016,7,2016_07_CHI_GB,CHI,GB,0,45,189.0,1224,2,10,26,0
2016,7,2016_07_CHI_GB,GB,CHI,1,81,406.0,2376,1,26,10,1
2016,7,2016_07_CLE_CIN,CIN,CLE,1,61,559.0,1692,0,31,17,1
2016,7,2016_07_CLE_CIN,CLE,CIN,0,63,352.0,1908,3,17,31,0
2016,7,2016_07_HOU_DEN,DEN,HOU,1,60,347.0,1838,0,27,9,1
2016,7,2016_07_HOU_DEN,HOU,DEN,0,67,271.0,1762,2,9,27,0
